RECIPE NAME,INGREDIENTS,COOKING TIME(IN MINUTES),INSTRUCTIONS,BENEFITS,
 Guacamole Chicken Salad,"20 oz boneless chicken thighs
1 cup cooked quinoa
1/2 cup olive oil
1 tsp salt
1 red onion (minced)
2 tsp garlic (minced)
1 jalapeño (minced)
2 tbsp fresh cilantro (chopped)
1 romaine lettuce (finely shredded)
2 avocados (diced)
3 tbsp lime juice",40 minutes,"Season chicken with salt and cook until done. Allow to cool, then shred.
In a large bowl, combine lettuce and quinoa with half the lime juice and all of the olive oil. Toss to coat.
In another bowl, mix remaining ingredients, including chicken. Mash the avocado.
Serve the chicken mixture over a bed of lettuce and quinoa.",High in protein and healthy fats; supports satiety and nutrient balance.,
Chickpea Pasta with Red Pepper Sauce,"Chickpea pasta, roasted red peppers, basil leaves, walnuts, lemon juice.",25 minutes,"Cook the Pasta: Boil salted water in a pot. Add chickpea pasta and cook according to package instructions. Drain and set aside.
Make the Sauce: In a blender, combine roasted red peppers, olive oil, minced garlic, salt, and pepper. Blend until smooth.
Combine: In a skillet over medium heat, add the sauce and cooked pasta. Toss to combine and heat through for about 2-3 minutes.
Serve: Plate the pasta and garnish with fresh basil or parsley if desired.","High in Protein: Chickpea pasta offers a good protein source.
Rich in Fiber: Supports digestion and helps manage blood sugar levels.
Quick and Easy: Perfect for a busy weeknight dinner.",
Granola Bake,"2 tbsp flaxseed meal
1/2 cup almonds
1/2 cup walnuts
1/2 cup pecans
1/3 cup coconut flakes
1 tbsp coconut oil (melted)
1/2 cup almond milk
2 tbsp coconut oil (melted, cooled)
1 tbsp apple pie spice
1 tsp ground Ceylon cinnamon
1/2 tsp salt
2 apples (peeled, grated)",35 minutes,"Mix flaxseed meal with water and let it thicken.
Preheat oven to 350°F (175°C) and line a baking sheet with parchment paper.
Roast nuts and coconut for about seven minutes.
In a bowl, combine processed nuts, grated apples, almond milk, flaxseed mixture, coconut oil, spices, and salt.
Transfer to a baking dish and bake for about 35-40 minutes until golden brown.",High in fiber and healthy fats; great for breakfast or snacks.,
Oats Idli,"1 cup quick-cooking oats Urad dal (¼ cup), yogurt (2 tbsp), green chili paste, salt",10 minutes,"Blend oats and urad dal into a batter.
Add yogurt and salt; steam in idli molds.",Probiotic-rich; supports gut health.,
Greek Yogurt Parfait,"1 cup Greek yogurt
½ cup granola
½ cup mixed berries 
honey",5 minutes,"Layer yogurt, granola, and berries in a glass
 Drizzle with honey","High in protein, rich in probiotics, promotes gut health.",
Chicken Caesar salad,"1 grilled chicken breast
romaine lettuce
Caesar dressing
croutons
Parmesan",15 minutes,"Mix chopped lettuce, chicken, croutons, and dressing. 
Sprinkle with Parmesan.","High in protein
Provides essential vitamins
Supports muscle growth",
Smootie Bowl,"1 banana
½ cup spinach 
1 cup almond milk
¼ cup granola
chia seeds",5 minutes,"Blend banana, spinach, and almond milk. 
Pour into a bowl. 
Top with granola and chia seeds.","High in antioxidants, promotes energy, rich in vitamins.",
Peanut Butter Banana Smoothie,"1 banana
1 tbsp peanut butter
1 cup milk
ice",5 minutes," Blend banana, peanut butter, milk, and ice until smooth."," Rich in protein, promotes muscle recovery, high in potassium",
Caprese Salad,"2 tomatoes
Mozzarella
Fresh basil
Olive oil
Balsamic vinegar",10 minutes,"Slice tomatoes and mozzarella
Layer with basil
Drizzle with olive oil and vinegar.","Rich in antioxidants, supports heart health, low in calories.","
"
Chicken Stir-Fry,"1 chicken breast
Bell peppers
Soy sauce
Garlic
Ginger",20 minutes,"Stir-fry chicken with garlic and ginger
Add veggies and soy sauce
Cook until tender.","High in protein, low in fat, supports muscle growth.",
Spaghetti Aglio e Olio,"200g spaghetti
Garlic
Olive oil
Chili flakes
Parsley",15 minutes,"Cook spaghetti. 
Sauté garlic in olive oil
Add chili flakes
Toss with spaghetti.","Simple and light, rich in healthy fats, supports heart health.Simple and light, rich in healthy fats, supports heart health.",
Banana Pancakes,"1 banana
2 eggs
cinnamon",10 minutes,"Mash banana
Whisk with eggs and cinnamon
Cook on a griddle until golden."," Gluten-free, high in potassium, promotes energy.",
Tomato Basil Soup,"4 tomatoes
1 onion
garlic
basil
vegetable broth",30 minutes,"Sauté onion and garlic
Add chopped tomatoes and broth. 
Simmer for 20 minutes
Blend
Add basil","Rich in antioxidants, supports immune health, low in calories.",
Cucumber Lemon Water,"1 cucumber
1 lemon
Water",5 minutes,"Slice cucumber and lemon
Add to a jug of water
Let sit for a few minutes before serving.","Hydrating, supports detoxification, rich in vitamins.",
Veggie Omelette,"2 eggs
spinach
bell pepper
onion
olive oil",10 minutes,"Whisk eggs
cook with veggies in olive oil until done.","High in protein, rich in vitamins, supports muscle growth.",
Sambar,"½ cup toor dal
1 carrot
1 drumstick
Tamarind
Sambar powder",30 minutes,"Cook dal and veggies
Add tamarind water
Sambar powder
Simmer for 10 minutes.","High in protein, rich in fiber, packed with vitamins.",
Medu Vada,"1 cup urad dal
Ginger
Green chilies
Salt
Oil",20 minutes,"Grind soaked urad dal with spices
Shape into doughnuts
Deep-fry until golden","High in protein, crispy, gluten-free.",
Pongal,"1 cup rice
½ cup moong dal
Black pepper
Ghee
Cashews",25 minutes,"Cook rice and dal together. 
Temper with ghee, pepper, and cashews.","Easy to digest, high in protein, rich in carbohydrates.",
Upma,"1 cup rava (semolina)
1 onion, mustard seeds
Green chilies
Curry leaves",15 minutes,"Roast rava. 
In another pan, sauté spices and onions
Then add water. 
Stir in rava and cook until done","Quick energy boost, rich in carbohydrates, low in fat.",
Cocunut Chutney,"1 cup grated coconut
2 green chilies
1 tbsp roasted chana dal
Curry leaves",5 minutes,"Blend coconut, chilies, and dal. 
Temper with mustard seeds and curry leaves.","Rich in fiber, healthy fats, promotes digestion.",
Flaxseed Smoothie,"1 tbsp flaxseeds
1 banana
1 cup spinach
Almond milk",5 minutes,"Blend flaxseeds, banana, spinach, and almond milk until smooth.","Rich in fiber and omega-3s, supports hormone balance, reduces inflammation",
Chickpea Salad,"1 cup cooked chickpeas
Cucumber
Tomato
Olive oil
Lemon juice",10 minutes,"Mix chickpeas with chopped cucumber and tomato. 
Drizzle with olive oil and lemon juice."," High in fiber, stabilizes blood sugar, promotes satiety.",
Zucchini Noodles with Pesto,"2 zucchinis
2 tbsp pesto
Cherry tomatoes
Olive oil",10 minutes,"Spiralize zucchinis into noodles
Sauté in olive oil and toss with pesto and tomatoes.","Low-carb, rich in vitamins, supports blood sugar balance.",
Roasted Sweet Potatoes,"1 sweet potato
Olive oil
Paprika
Salt",25 minutes,"Slice sweet potato
Drizzle with olive oil
Sprinkle with paprika and salt. 
Roast at 200°C for 20 minutes.","High in fiber, low glycemic index, promotes steady blood sugar levels.",
Palak Dal,"1 cup toor dal
2 cups spinach
Garlic
Turmeric
Cumin
Ghee",30 minutes,"Cook dal with turmeric. 
Sauté garlic and cumin in ghee
Add spinach
Mix with cooked dal.","High in fiber and protein, promotes hormone balance, anti-inflammatory.",
Ragi Dosa,"1 cup ragi (finger millet) flour
½ cup rice flour
salt
water
coconut chutney for serving",15 minutes,"Mix ragi flour, rice flour, salt, and water into a batter. 
Spread on a hot pan to make dosas.
Take out of the pan after cooked","Low glycemic index, rich in calcium and iron, supports stable blood sugar.",
Vegetable khichdi,"1� cup rice
½ cup moong dal
Carrots
Peas
Cumin
Turmeric
Ghee",25 minutes,"Cook rice and dal with vegetables, cumin, turmeric, and ghee in a pressure cooker.","High in fiber, easily digestible, balances blood sugar.",
Besan Chilla,"1 cup gram flour (besan)
Chopped onions
Tomatoes
Green chilies
Cumin
Turmeric",15 minutes,"Mix besan with vegetables and spices. 
Cook on a griddle like a pancake.","High in protein, supports digestion, low in carbs.",
Bhindi Masala (Okra Stir-Fry),"2 cups chopped bhindi (okra)
onion
tomato
cumin
turmeric
coriander powder",15 minutes,"Sauté cumin
add onion and tomato
cook with bhindi and spices until tender."," Low in carbs, rich in fiber, helps with insulin sensitivity.",
Tandoori Grilled Chicken,"1 chicken breast
yogurt
turmeric
cumin
ginger-garlic paste
lemon juice",25 minutes," Marinate chicken in yogurt and spices, grill until cooked.","High in lean protein, supports muscle building, low in unhealthy fats.",
Aloo Methi (Potato Fenugreek),"2 potatoes
1 cup fresh fenugreek leaves (methi)
cumin
turmeric
chili powder",20 minutes,"Sauté cumin and turmeric
add diced potatoes and methi
cook until tender.","Rich in fiber and iron
helps regulate hormones
reduces inflammation.",
Curd Rice,"1 cup cooked rice
1 cup yogurt
Mustard seeds
Curry leaves
Ginger",10 minutes,"Mix rice with yogurt. 
Temper mustard seeds and curry leaves in oil
Add to the ric
mix well."," Rich in probiotics, supports gut health, helps with digestion.

",
Bajra Khichdi (Pearl Millet Khichdi),"1 cup bajra (pearl millet)
½ cup moong dal
Cumin
Turmeric
Ginger
Ghee",30 minutes,"Soak bajra for 1-2 hours.
Cook bajra and moong dal in a pressure cooker with water, turmeric, and salt.
Temper cumin and ginger in ghee.
Add the tempering to the cooked khichdi and mix well.","High in fiber, improves digestion, supports heart health.",
Methi Paratha,"1 cup whole wheat flour
½ cup fresh fenugreek leaves (methi)
Cumin
Turmeric
Ghee",20 minutes,"Mix wheat flour with chopped methi, cumin, turmeric, and salt.
Add water and knead into a soft dough.
Roll the dough into flat parathas.
Cook on a hot tawa with ghee until golden brown on both sides.","Rich in fiber, good for digestion, helps regulate blood sugar.
",
Sprouts Salad,"1 cup moong sprouts
cucumber
tomato
lemon juice
chaat masala",10 minutues,"Steam moong sprouts for 5 minutes.
Mix with chopped cucumber and tomato.
Drizzle with lemon juice and sprinkle chaat masala.","High in protein and fiber, promotes satiety, supports digestion.
",
Ragi Idli,"1 cup ragi (finger millet) flour 
½ cup urad dal
salt
water",20 minutes (+ fermentation),"Soak urad dal for 4 hours, then grind into a smooth batter.
Mix ragi flour with the dal batter and let it ferment overnight.
Pour batter into idli molds and steam for 15 minutes.","Rich in calcium, good for bone health, low glycemic index.",
Lauki (Bottle Gourd) Soup,"1 cup lauki
1 tomato
cumin
ginger
garlic
black pepper",20 minutes,"Sauté cumin, ginger, and garlic in ghee.
Add chopped lauki and tomato, and cook for 10 minutes.
Blend the cooked mixture into a smooth soup.
Season with salt and black pepper before serving.","Low in calories, hydrating, promotes weight management.
",
Masoor Dal (Red Lentil Soup),"1 cup masoor dal
garlic
cumin
turmeric
ghee",25 minutes,"Cook masoor dal with turmeric and water until soft.
Sauté cumin and garlic in ghee.
Add the tempering to the cooked dal and simmer for 5 minutes.","High in protein and fiber, helps stabilize blood sugar, rich in iron.",
Paneer Bhurji,"200g paneer
onion
tomato
green chilies
turmeric
cumin",15 minutes,"Heat oil and sauté cumin, onions, and green chilies.
Add tomatoes and cook until soft.
Crumble paneer and mix into the vegetable mixture.
Season with turmeric and salt, and cook for 5 minutes.","High in protein, supports muscle health, low in carbs.",
Cabbage Poriyal,"2 cups cabbage
mustard seeds
curry leaves
grated coconut
turmeric",15 minutes,"Heat oil, add mustard seeds and curry leaves.
Add chopped cabbage and turmeric, and cook until soft.
Sprinkle grated coconut on top and mix well.","Low in calories, high in fiber, good for digestion.",
Millet Pongal,"1 cup barnyard millet
½ cup moong dal
Black pepper
Cumin
Ginger
Ghee",20 minutes,"Cook millet and moong dal together in a pressure cooker.
Heat ghee, add cumin, black pepper, and ginger.
Pour the tempering over the cooked millet and dal mixture.","High in fiber, gluten-free, supports steady energy levels.",
Beetroot Raita,"1 cup grated beetroot
1 cup yogurt
Cumin powder
black salt",10 minutes,"Steam grated beetroot for 5 minutes.
Mix with yogurt, cumin powder, and black salt.
Chill in the fridge for 10 minutes before serving.","Rich in antioxidants, supports liver health, cooling and refreshing.",
Avocado and Egg Salad,"2 eggs (boiled)
1 ripe avocado
1 tablespoon lemon juice
1 tablespoon olive oil
Salt and pepper to taste
1 tablespoon chopped parsley",10 minutes,"Boil the eggs, peel, and chop them.
Cut the avocado into small pieces.
In a bowl, mix the eggs and avocado with lemon juice, olive oil, salt, and pepper.
Sprinkle parsley on top and serve.","Eggs provide high-quality protein and healthy fats.
Avocados are rich in monounsaturated fats, which help balance hormones and promote insulin sensitivity.
A satisfying, low-carb meal option that supports healthy blood sugar levels.",
Sweet Potato and Chickpea Curry,"1 medium sweet potato, diced
1 can chickpeas (drained and rinsed)
1 onion, chopped
2 garlic cloves, minced
1 tablespoon curry powder
1 teaspoon cumin
1 can coconut milk (light)
1 tablespoon olive oil
Salt and pepper to taste
Fresh cilantro for garnish", 25 minutes,"Heat olive oil in a large pan, add onion and garlic, and sauté until soft.
Add curry powder and cumin, stirring for 1 minute until fragrant.
Add diced sweet potato, chickpeas, and coconut milk.
Simmer for 15–20 minutes until the sweet potatoes are tender.
Season with salt and pepper, and garnish with cilantro before serving.","Sweet potatoes are low on the glycemic index and high in fiber, helping stabilize blood sugar.
Chickpeas are packed with plant-based protein and fiber, promoting fullness and reducing insulin spikes.
A delicious, nutrient-rich dish with anti-inflammatory benefits from the spices.",
Ragi Dosa with Spinach and Paneer Filling,"For the Dosa Batter:
1 cup ragi (finger millet) flour
1/4 cup rice flour (preferably brown rice)
1/2 cup yogurt (unsweetened)
1 1/2 cups water (adjust for consistency)
Salt to taste
1/2 teaspoon cumin seeds (optional)For the Filling:
1 cup spinach, finely chopped
1/2 cup paneer, crumbled
1 small onion, finely chopped
2 garlic cloves, minced
1 green chili, finely chopped (optional)
1 teaspoon olive oil
Salt and pepper to taste
1/2 teaspoon garam masala
",30 minutes,"Prepare the Batter:
In a mixing bowl, combine ragi flour, rice flour, yogurt, and water. Whisk until smooth. Add salt and cumin seeds if using.
Let the batter sit for about 10 minutes to allow the flours to absorb the liquid.
Prepare the Filling:
Heat olive oil in a pan over medium heat. Add minced garlic and sauté until fragrant.
Add chopped onions and green chili, cooking until onions are translucent.
Add the chopped spinach and cook until wilted.
Stir in crumbled paneer, garam masala, salt, and pepper. Cook for another 2-3 minutes. Remove from heat and set aside.                                                                                                                                                                           Make the Dosas:
Heat a non-stick skillet or dosa tawa over medium heat and lightly grease it with oil.
Pour a ladleful of batter onto the center of the skillet and spread it outwards in a circular motion to form a thin dosa.
Drizzle a few drops of oil around the edges and cook until the dosa turns golden brown and crisp.
Assemble:
Place a portion of the spinach and paneer filling on one half of the dosa. Fold the other half over the filling.
Serve hot with coconut chutney or a yogurt-based dip.","Benefits:

Ragi (Finger Millet): High in fiber and calcium, helps regulate blood sugar levels and supports bone health.
Spinach: Rich in iron and magnesium, aids in hormone balance and reduces inflammation.
Paneer: Provides high-quality protein, which helps in managing insulin levels and maintaining muscle mass.
Low Glycemic Index: This meal helps in stabilizing blood sugar levels, beneficial for managing PCOS.",
Kootu (Vegetable and Lentil Stew),"1 cup moong dal (yellow split lentils)
2 cups mixed vegetables (pumpkin, beans, carrots, etc.)
1 teaspoon cumin seeds
1/2 teaspoon turmeric powder
1 tablespoon grated coconut
1/2 teaspoon mustard seeds
1 tablespoon coconut oil
Curry leaves
Salt to taste",30 minutes,"Cook the moong dal and vegetables together with turmeric powder and salt.
Grind the grated coconut and cumin seeds into a paste.
Add the paste to the cooked dal and vegetables, and simmer for 5 minutes.
In a small pan, heat coconut oil, add mustard seeds and curry leaves, and let them splutter.
Pour the tempering over the kootu and serve with steamed brown rice or millets.","Moong dal is high in protein and low on the glycemic index, helping regulate blood sugar.
The variety of vegetables provides essential vitamins, fiber, and antioxidants, supporting overall hormonal balance.",
Idli with Millets,"1 cup foxtail millet or little millet
1/4 cup urad dal (split black gram)
1/2 teaspoon fenugreek seeds
Salt to taste",20 minutes  (excluding soaking and fermentation time),"Soak the millet, urad dal, and fenugreek seeds separately for 4 hours.
Grind the urad dal and fenugreek seeds into a fluffy batter, then grind the millet.
Mix both batters and allow the mixture to ferment overnight.
Add salt and pour the batter into greased idli molds.
Steam for 10–12 minutes until cooked through.
Serve with chutney or sambar.","Millets are rich in fiber, iron, and magnesium, helping to control insulin levels.
This is a wholesome, gluten-free breakfast option that supports sustained energy release.",
Avial (Mixed Vegetable Coconut Curry),"1 cup mixed vegetables (drumstick, carrot, beans, pumpkin, etc.)
1/4 cup grated coconut
1 teaspoon cumin seeds
2 green chilies
1/2 cup yogurt
1 tablespoon coconut oil
Curry leaves
Salt to taste",20 minutes,"Cook the vegetables with a little water and salt until tender.
Grind the coconut, cumin, and green chilies into a smooth paste.
Add the coconut paste to the cooked vegetables and simmer for 5 minutes.
Add the yogurt and stir well.
Heat coconut oil, add curry leaves, and pour it over the avial before serving.
Serve with rice or millets.","Avial provides a mix of fiber, antioxidants, and probiotics (from yogurt), supporting gut health and hormonal balance.
It is a light, anti-inflammatory dish with healthy fats from coconut.",
 Vazhaipoo (Banana Flower) Usili,"1 banana flower (cleaned and chopped finely)
1/2 cup toor dal (split pigeon peas)
1/2 cup chana dal (split chickpeas)
2 dried red chilies
1 teaspoon mustard seeds
Curry leaves
1 tablespoon coconut oil
Salt to taste",30 minutes,"Soak the toor dal and chana dal for 2 hours, then grind them with dried red chilies into a coarse paste.
Steam the paste for 10 minutes and crumble it.
In a pan, heat coconut oil, add mustard seeds and curry leaves.
Add the crumbled dal paste and sauté for 5 minutes.
Add the finely chopped banana flower and cook until tender.
Serve as a side dish with rice or rotis.","Banana flower is rich in fiber, iron, and antioxidants, aiding in digestion and managing PCOS symptoms.
The combination of lentils provides plant-based protein and supports insulin sensitivity.",
Sundal (Spiced Chickpea Snack),"1 cup boiled chickpeas (or any legume like black-eyed peas, green gram, etc.)
1 teaspoon mustard seeds
1 tablespoon grated coconut
1 dried red chili
1/2 teaspoon urad dal (split black gram)
Curry leaves
1 tablespoon coconut oil
Salt to taste",30 minutes,"Boil soaked chickpeas until tender, or rinse and drain canned chickpeas.
Heat coconut or olive oil in a pan over medium heat.
Add mustard seeds and let them splutter.
Add cumin seeds, asafoetida, dried red chilies, and curry leaves, and sauté for a minute.
Add chopped onions and slit green chili, sauté until onions are translucent.
Add boiled chickpeas, mix well, and cook for 5 minutes to absorb flavors.
Stir in grated coconut and salt, mix well, and cook for 2 minutes.
Remove from heat, add lemon juice, and garnish with coriander leaves.
Serve warm or at room temperature as a healthy snack.","Chickpeas: High in protein and fiber, aiding in satiety and blood sugar regulation.
Coconut: Provides healthy fats that support hormone balance and reduce inflammation.
Spices: Mustard and cumin seeds enhance digestion and have anti-inflammatory properties.
Low Glycemic: Suitable for maintaining stable blood sugar levels, beneficial for PCOS management.",
Vegetable Stew with Brown Rice,"1 tablespoon coconut oil or olive oil
1 teaspoon mustard seeds
1 sprig curry leaves
1 small onion, thinly sliced
2 cloves garlic, minced
1-inch piece ginger, grated
1 green chili, slit (optional)
2 cups mixed vegetables (carrots, beans, potatoes, peas), diced
2 cups low-sodium vegetable broth
1/2 cup coconut milk (light)
1 teaspoon turmeric powder
Salt to taste
Fresh coriander leaves, chopped for garnish  '1 teaspoon coconut oil or olive oil
1/2 teaspoon mustard seeds
A pinch of asafoetida (hing)
A few curry leaves
",40 minutes,"Cook brown rice according to package instructions and set aside.
Heat coconut oil or olive oil in a large pot over medium heat.
Add mustard seeds and let them splutter.
Add curry leaves and sauté for a minute.
Add sliced onions, minced garlic, grated ginger, and slit green chili; sauté until onions are translucent.
Add diced mixed vegetables and turmeric powder, stirring to coat the vegetables.
Pour in vegetable broth, bring to a boil, then reduce heat and simmer for 15-20 minutes until vegetables are tender.
Stir in coconut milk and salt to taste, letting it simmer for another 5 minutes.
In a small pan, heat coconut oil or olive oil, add mustard seeds, and let them splutter.
Add asafoetida and curry leaves, sautéing for a minute.
Pour the seasoning over the stew and mix gently.
Garnish with chopped coriander leaves.
Serve the vegetable stew hot over brown rice.","Provides a good source of fiber and protein from brown rice and vegetables.
Coconut milk adds healthy fats and a creamy texture.
Rich in vitamins and minerals from mixed vegetables.
Helps regulate blood sugar levels, beneficial for PCOS management.",
 Oats and Banana Pancakes,"1 cup rolled oats
1 ripe banana
1 cup milk (or plant-based milk)
1 teaspoon baking powder
1 teaspoon cinnamon
1 tablespoon honey or maple syrup (optional)
Coconut oil for cooking", 15 minutes,"Blend oats, banana, milk, baking powder, and cinnamon until smooth.
Heat a non-stick skillet and lightly grease it with coconut oil.
Pour batter onto the skillet and cook until bubbles form; flip and cook until golden.
Serve warm, topped with fresh fruits or yogurt.","High in fiber and low in refined sugars, oats help manage weight and control cravings.",
 Cauliflower Rice Stir-Fry,"1 head cauliflower, grated into rice-like pieces
2 cups mixed vegetables (peas, carrots, bell peppers)
2 tablespoons soy sauce (low sodium)
1 tablespoon sesame oil
2 cloves garlic, minced
Green onions for garnish",20 minutes,"Heat sesame oil in a pan and sauté garlic until fragrant.
Add mixed vegetables and stir-fry for 5-7 minutes.
Stir in cauliflower rice and soy sauce; cook for another 5-7 minutes until tender.
Garnish with chopped green onions and serve hot.","Cauliflower is low in calories and carbs, making it a great option for weight management.",
